timestamp_pickup,day_of_week,start_city,end_city,double_delivery,duration_min,distance_miles,paid_distance,paid_time,min_fare_supplement,pickup_fee,dropoff_fee,tips,surge,boost,uber_receives,total
5/18/19 16:53,Saturday,Auburn,Auburn,0,21.3000,5.22,2.19,3.43,,1.05,0.70,,,,3.16,7.37
5/18/19 17:23,Saturday,Auburn,Auburn,0,15.5500,3.84,1.61,2.51,,1.05,0.70,,,,2.51,5.87
5/18/19 17:56,Saturday,Auburn,Auburn,0,15.1167,3.35,1.41,2.43,,1.05,0.70,,,,2.40,5.59
5/19/19 17:08,Sunday,Federal Way,Auburn,0,15.8000,3.23,1.36,2.54,,1.05,0.70,,,,2.42,5.65
5/19/19 17:26,Sunday,Federal Way,Auburn,0,25.4167,14.06,5.91,4.74,,1.05,0.70,,,,5.31,12.40
5/19/19 17:59,Sunday,Kent,Federal Way,0,25.0667,6.88,2.89,4.04,,1.05,0.70,,,,3.72,8.68
5/20/19 13:00,Monday,Auburn,Auburn,0,18.7167,3.91,1.64,3.02,,1.05,0.70,3.00,,,2.75,9.41
5/20/19 13:13,Monday,Covington,Auburn,0,22.7167,5.31,2.23,3.66,,1.05,0.70,2.00,,,3.28,9.64
5/20/19 13:54,Monday,Federal Way,Sumner,0,25.9167,8.03,3.38,4.17,,1.05,0.70,2.00,,,3.98,11.30
5/20/19 17:03,Monday,Covington,Kent,0,25.7667,14.25,5.98,4.16,3.11,1.05,0.70,4.00,,,6.43,19.00
5/20/19 18:20,Monday,Auburn,Auburn,0,22.2667,7.16,3.01,3.58,,1.05,0.70,4.00,,,3.58,12.34
5/20/19 18:54,Monday,Auburn,Federal Way,0,16.9667,6.09,2.55,2.73,,1.05,0.70,,,,3.02,7.03
5/21/19 15:32,Tuesday,Auburn,Pacific,0,10.8667,1.43,0.60,1.75,0.90,1.05,0.70,,,,2.14,5.00
5/21/19 15:47,Tuesday,Auburn,Auburn,0,21.8167,0.43,0.18,3.52,,1.05,0.70,,,,2.33,5.45
5/22/19 14:29,Wednesday,Auburn,Auburn,0,14.8500,2.19,0.92,2.39,,1.05,0.70,,,,2.17,5.06
5/22/19 14:45,Wednesday,Kent,Kent,0,14.7167,2.00,0.84,2.37,1.04,1.05,0.70,2.00,,,2.57,8.00
5/22/19 15:14,Wednesday,Kent,Kent,0,9.6000,0.45,0.19,1.55,,1.05,0.70,2.00,,,1.49,5.49
5/22/19 18:55,Wednesday,Covington,Maple Valley,0,19.2667,5.16,2.17,3.10,2.98,1.05,0.70,,,,4.29,10.00
6/4/19 13:05,Tuesday,Auburn,Auburn,0,15.7000,3.38,1.42,2.53,,1.05,0.70,,,,2.44,5.70
6/4/19 13:14,Tuesday,Auburn,Auburn,0,10.1167,0.30,0.13,1.63,,1.05,0.70,,,,1.50,3.51
6/4/19 13:28,Tuesday,Auburn,Auburn,0,15.7000,2.62,1.10,2.53,,1.05,0.70,,,,2.30,5.38
6/4/19 17:14,Tuesday,Federal Way,Federal Way,0,10.3000,0.95,0.40,1.66,2.19,1.05,0.70,,,,2.57,6.00
6/4/19 17:53,Tuesday,Federal Way,Federal Way,0,22.4667,4.00,1.68,3.62,,1.05,0.70,,,,3.02,7.05
6/4/19 18:16,Tuesday,Federal Way,Federal Way,0,11.7500,0.67,0.28,1.89,,1.05,0.70,,,,1.68,3.92
6/5/19 17:06,Wednesday,Auburn,Kent,0,22.3667,6.58,2.77,3.60,,1.05,0.70,4.00,,,3.48,12.12
6/5/19 17:23,Wednesday,Renton,Renton,0,31.0500,9.52,4.00,5.00,3.25,1.05,0.70,,,,6.00,14.00
6/5/19 18:01,Wednesday,Issaquah,Sammamish,0,27.8667,5.66,2.38,4.48,3.38,1.05,0.70,4.00,,1.20,5.66,17.19
6/5/19 18:56,Wednesday,Redmond,Bellevue,0,26.6167,4.61,1.94,4.28,4.03,1.05,0.70,,,4.80,7.20,16.80
6/5/19 19:47,Wednesday,Redmond,Redmond,0,11.7167,0.51,0.22,1.89,,1.05,0.70,,,1.54,2.31,5.40
6/5/19 19:51,Wednesday,Redmond,Redmond,0,9.7667,1.04,0.43,1.58,,1.05,0.70,,,1.50,2.26,5.26
6/6/19 18:23,Thursday,Renton,Kent,0,14.6667,1.64,0.69,2.35,,1.05,0.70,2.00,0.50,0.96,2.47,8.25
6/6/19 18:41,Thursday,Kent,Auburn,0,25.0000,8.57,3.60,4.02,,1.05,0.70,8.00,,1.88,4.82,19.25
6/6/19 19:17,Thursday,Burien,Normandy Park,0,15.6667,2.90,1.22,2.52,,1.05,0.70,,0.50,1.10,2.82,7.09
6/8/19 18:29,Saturday,Issaquah,Bellevue,0,26.9167,8.08,3.39,4.34,,1.05,0.70,4.00,,5.68,6.50,19.16
6/8/19 18:55,Saturday,Bellevue,Bellevue,0,14.5167,1.74,0.73,2.34,,1.05,0.70,4.00,,1.44,2.68,10.26
6/8/19 19:01,Saturday,Bellevue,Bellevue,0,29.5667,9.47,3.98,4.76,,1.05,0.70,,,3.14,5.84,13.63
6/9/19 18:36,Sunday,Auburn,Pacific,0,13.8000,2.61,1.10,2.22,,1.05,0.70,6.00,,2.03,3.04,13.10
6/9/19 18:54,Sunday,Auburn,Kent,0,20.8167,6.32,2.65,3.36,,1.05,0.70,6.00,,3.10,4.65,16.86
6/9/19 19:17,Sunday,Kent,Kent,0,10.3667,0.52,0.22,1.67,,1.05,0.70,,,1.46,2.18,5.10
6/9/19 19:39,Sunday,Kent,Auburn,0,23.3500,6.13,2.58,3.76,,1.05,0.70,,,3.23,4.85,11.32
6/12/19 18:14,Wednesday,Federal Way,Kent,0,26.3667,12.01,5.05,4.25,1.95,1.05,0.70,,,,5.57,13.00
6/12/19 18:44,Wednesday,Kent,Auburn,0,17.3167,3.97,1.67,2.78,,1.05,0.70,,,,2.66,6.20
6/12/19 19:34,Wednesday,Auburn,Auburn,0,24.0667,5.41,2.27,3.88,,1.05,0.70,4.00,,,3.39,11.90
6/12/19 19:58,Wednesday,Kent,Kent,0,33.4167,2.10,0.88,5.38,,1.05,0.70,2.00,,,3.44,10.01
6/13/19 18:24,Thursday,Auburn,Auburn,0,11.7667,0.95,0.40,1.90,,1.05,0.70,,,,1.73,4.05
6/13/19 18:39,Thursday,Auburn,Kent,0,21.3000,8.36,3.51,3.43,,1.05,0.70,2.00,,,3.73,10.69
6/13/19 18:54,Thursday,Kent,Kent,1,42.8167,11.48,4.82,6.90,,1.05,1.40,6.00,,,6.07,20.17
6/13/19 19:53,Thursday,Covington,Auburn,1,30.8667,6.98,2.93,4.95,,1.06,1.40,2.00,,,4.44,12.34
6/13/19 20:35,Thursday,Covington,Kent,0,30.9667,3.08,1.30,4.98,,1.05,0.70,2.00,,,3.44,10.03
6/14/19 17:44,Friday,,,,,,2.78,$3.36 ,,$1.05 ,$0.70 ,,,,,$7.89 
6/14/19 18:03,Friday,,,,,,3.79,$4.37 ,,$1.05 ,$0.70 ,,,,,$9.91 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,20.2180,4.80,105.37,167.90,22.83,53.56,37.10,75.00,1.00,33.06,172.29,495.82
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,